Hotel_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,No_of_reviews,Accomodates,Bedrooms,Beds,Bathrooms,Price,Security_deposit,Cleaning_fee,Guests,Host_name,Host_location,Host_response,Host_total_listings,Street,Suburb,Gov_area,Market,Country,Coun_code,Longitude,Latitude,Availability_30,Availability_60,Availability_90,Availability_365,Accuracy_score,Clean_score,Checkin_score,Communication_score,Location_score,Value_score,Rating
New York City - Upper West Side Apt,Private room,Private room,Real Bed,12,360,70,2,1,1,1,135,0,135,1,Greta,"New York, New York, United States",100,3,"New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,-73.96523,40.79962,0,0,0,93,10,9,10,10,10,10,94
Double and triple rooms Blue mosque,Private room,Private room,Real Bed,1,1125,29,3,1,2,1,121,0,0,1,Mehmet Emin,"Istanbul, İstanbul, Turkey",100,2,"Fatih , İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,28.98009,41.0062,30,60,90,365,9,9,10,10,10,9,92
"Soho Cozy, Spacious and Convenient",Entire home/apt,Entire home/apt,Real Bed,4,20,3,3,1,2,1,699,0,0,1,Giovanni,"Hong Kong, Hong Kong",0,1,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,114.15027,22.28158,0,0,0,0,10,10,10,10,10,8,100
City center private room with bed,Private room,Private room,Futon,1,500,81,1,1,1,1,181,0,50,1,Yi,United States,100,2,"Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,114.1669,22.3314,14,24,40,220,10,8,10,10,10,10,92
Surry Hills Studio - Your Perfect Base in Sydney,Entire home/apt,Entire home/apt,Real Bed,10,21,64,2,0,1,1,181,300,50,1,Ben,"New South Wales, Australia",0,1,"Surry Hills, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,151.21554,-33.88029,0,0,0,0,10,9,10,10,10,9,95
Downtown Oporto Inn (room cleaning),Private room,Private room,Real Bed,1,1125,0,2,1,1,1,40,0,50,2,Elisabete,"Porto, Porto, Portugal",0,2,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60867,41.1543,30,60,87,359,0,0,0,0,0,0,0
Easy 1 Bedroom in Chelsea,Entire home/apt,Entire home/apt,Real Bed,2,1125,1,2,1,1,1,145,0,60,1,Scott,"New York, New York, United States",0,1,"New York, NY, United States",Manhattan,Chelsea,New York,United States,US,-74.00074,40.74577,0,0,0,0,10,10,10,10,10,10,100
A bedroom far away from home,Private room,Private room,Real Bed,1,10,239,2,1,1,1,45,0,0,1,Lane,US,100,1,"Queens, NY, United States",Queens,Briarwood,New York,United States,US,-73.82257,40.71485,20,29,29,34,10,10,10,10,9,10,95
Private Room in Bushwick,Private room,Private room,Real Bed,14,1125,1,1,1,1,1,40,0,0,1,Josh,"New York, New York, United States",0,1,"Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,-73.93615,40.69791,0,0,0,0,10,10,10,10,8,8,100
Copacabana Apartment Posto 6,Entire home/apt,Entire home/apt,Real Bed,3,75,70,4,1,3,2,119,600,150,3,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",100,2,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,-43.190849194463404,-22.984339360067814,7,19,33,118,10,10,10,10,10,10,98
Ligne verte - à 15 min de métro du centre ville.,Entire home/apt,Entire home/apt,Real Bed,2,1125,0,2,0,1,1,43,0,0,1,Caro,"Montreal, Quebec, Canada",100,1,"Montréal, Québec, Canada",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,-73.54949,45.54548,0,0,0,32,0,0,0,0,0,0,0
Apartamento zona sul do RJ,Entire home/apt,Entire home/apt,Real Bed,1,1125,0,5,3,3,1,933,0,0,1,Luiz Rodrigo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,-43.1825954762751,-22.930541460367934,30,60,90,365,0,0,0,0,0,0,0
